question;cypher;tool;ground_truth;answer;latency;retrieved_contexts;used_tools;expected_tool;num_tools;context_recall;faithfulness;answer_correctness;is_tool_correct
Is the Cat a vertebrate or invertebrate?;RETURN 'This information is not in the knowledge base.' AS ground_truth;text2cypher;This information is not in the knowledge base.;This information is not in the knowledge base.;103.69188;['Animal: Ant\nThe ant is a small-sized invertebrate that is found all around the world, with the exception of the polar regions including the Arctic Circle and Antarctica. As with many other species of insect, there are numerous ant species inhabiting many different environments all around the world.', 'Animal: Octopus\nSection: Appearance and Behavior\nFinally, octopuses are the most intelligent of all invertebrate animals. The veined octopus, Amphioctopus marginatus , was observed in 2009 excavating coconut half shells from the ocean floor and using them as part of its den. This was the first documented use of tools by an invertebrate and is further evidence of how intelligent these creatures are.', 'Animal: Seahorse\nThe seahorse is a small family of vertebrate species that is found in tropical shallows and temperate waters around the world. The seahorse is a fish that is also commonly found around coral reefs, where there is plenty of food and places for the seahorse to hide.', 'Animal: Seahorse\nThe seahorse is a small family of vertebrate species that is found in tropical shallows and temperate waters around the world. The seahorse is a fish that is also commonly found around coral reefs, where there is plenty of food and places for the seahorse to hide.', 'Animal: Octopus\nSection: Appearance and Behavior\nMost octopuses are solitary and spend roughly 40 percent of their time hiding in dens. However, some are social and may live in groups of up to 40 other individuals. They are not territorial, but they typically stay within a defined home range. They aren’t migratory, so they spend their whole lives in the same general area. Octopuses also have an excellent sense of touch. Thanks to chemoreceptors on their suction cups, they can taste whatever they touch. Their skin also contains highly developed pigment-bearing cells called chromatophores that allow them to change the color, opacity, and even reflectivity of their skin quickly. Finally, octopuses are the most intelligent of all invertebrate animals.'];['text2cypher'];text2cypher;1;0.0;1.0;0.0;True
How fast can a blobfish swim?;RETURN 'This information is not in the knowledge base.' AS ground_truth;text2cypher;This information is not in the knowledge base.;This information is not in the knowledge base.;20.969886;['Animal: Puffin\nSection: Interesting Facts and Features\nPuffins are excellent swimmers but also incredibly fast in the air, and are able to launch very quickly from land or the water when needed. Puffins are so fast that they can fly at speeds of up to 55mph (88km/h) for short periods of time, with their little wings beating as much as 300 to 400 times every minute. Puffins are often seen with rows of small fish lined up along the length of their brightly colored, triangular beaks, particularly during the breeding season when they are fishing to feed their young chicks. Visiting the breeding grounds up to 10km away often can be a tiring process for such a small bird, so they commonly collect as many fish as they can in one go.', 'Animal: Polar Bear\nSection: Behavior and Lifestyle\nThe polar bear is a solitary animal that can not only run at speeds of up to 25mph, but its strong ability to swim at 6mph makes it a true apex predator within its environment. These semi-aquatic mammals can hunt both on the ice and in the water and have been known to swim vast distances across the open ocean in search of food. Polar bears are able to dive under the water to catch their prey which they do by keeping their eyes open and holding their breath for up to two minutes. On land, they tend to hunt using two main techniques: they either stalk then chase their prey or sit waiting next to a breathing hole for up to many hours before ambushing the seal as it emerges. Eating seals is vital to the survival of the polar bear as they are able to provide it with a high-energy meal.', 'Animal: Puffin\nSection: Classification\nThe Puffin is a small species of seabird closely related to other auk species, such as guillemots. Best known for their brightly colored, triangular beaks, Puffins are one of the most distinctive of all seabirds, and although they are not considered to be an endangered species, Puffins are extinct from many areas where they would have once been found in abundance. Puffins have disappeared from or become rare in many areas where they were once abundant, due to a combination of hunting, habitat loss, and environmental changes. Despite their penguin-like stance and appearance, Puffins can fly extremely well and have been known to reach speeds of more than 50mph for short periods of time.  \nThere are four puffin species:', 'Animal: Kangaroo\nSection: Behavior\nThe kangaroo is a very fast and agile animal that can achieve a top speed of about 40 mph and a consistent speed of around 20 to 25 mph. Because of its powerful leg muscles and big tail, the kangaroo actually expends less energy at this moderate cruising speed than at slower speeds. This allows it to outlast predators who may grow weary of the chase.  \nKangaroos have the ability to feed at all hours of the day. However, they are most active at night or in other periods of low light. Most individuals stay within a well-defined home range and don’t move around too much except when they’re pursued.', 'Animal: Cheetah\nSection: Classification and Evolution\nAlthough they are not considered to be part of the ‘big cat’ family as they cannot roar, Cheetahs are one of Africa ‘s most powerful predators and are most renowned for their immense speed when in a chase. Capable of reaching speeds of more than 60mph for short periods of time, the Cheetah is the fastest land mammal in the world. Learn about the world’s fastest animals here.'];['text2cypher'];text2cypher;1;1.0;1.0;0.75;True
Can a spider sing?;RETURN 'Umm... moo? 🐄 Sorry, this question is way outside my pasture. I am designed to chew the cud exclusively about zoology and animal biology. If you have a question about the animal world, I am ready to help! Otherwise, I am just going back to eating grass. 🌱' AS ground_truth;out_of_scope;Umm... moo? 🐄 Sorry, this question is way outside my pasture. I am designed to chew the cud exclusively about zoology and animal biology. If you have a question about the animal world, I am ready to help! Otherwise, I am just going back to eating grass. 🌱;This information is not in the knowledge base.;33.900804;['Animal: Bat\nSection: Reproduction, Babies, and Lifespan\nDid you know a bat can sing? Male bats sing and unfold their wings to attract female bats during mating season. Unfortunately, people can’t hear the high-pitched song of bats. A male bat marks its territory during mating time with liquid from its scent glands. Bats swarm during this time, allowing them to find a mate. A female bat can be pregnant for 40 days or six months, depending on its species. Most have one baby once a year. A mother bat gives birth to her baby or pup while she is hanging upside down. She must catch her pup with her wings after it’s born! A pup weighs about ¼ of the total weight of its mother. So, if a pup’s mom weighs one pound, the baby weighs just ¼ of a pound. A pup of this size is not quite as heavy as a hamster. A pup is born blind and without hair.', 'Animal: Woodpecker\nSection: Size, Appearance & Behavior\nRanging in size from the tiny piculet, which measures less than three inches from tip to tail, to the pileated and great slaty woodpeckers, which measure up to 20 inches in length, the size of these distinctive birds varies significantly.  \nWith a few exceptions, all woodpeckers share distinctive features, such as:  \n- A chisel-tipped beak\n- Zygodactyl feet with opposing toes\n- A contrasting crest or feathery tuft on the crown\n- Strong short legs\n- Stiff tail for balance\n- Exceptionally long, sticky tongues\n- Shock-absorbing skull bone\n- Nostril feathers to prevent inhaling debris  \nWoodpeckers are not songbirds, but both males and females do vocalize to express warnings, attraction, and territorialism. Their range of calls includes:  \n- Twitters\n- Trills\n- Whistles\n- Chattering\n- Shrieks', 'Animal: Spider\nSection: Appearance and Behavior\nSpiders use their silk for various purposes, such as building webs to live in, building webs to catch prey, constructing egg sacs, transferring sperm, encapsulating insects, creating balloons to fly, weaving structures to protect themselves from predators, assembling cocoons and manipulating static electricity in the air.  \nSpiders differ from insects in that they do not have antennae. Most spiders have a highly centralized nervous system, meaning that all their ganglia are joined together in the cephalothorax. Additionally, spiders do not use their extensor muscles to extend their limbs but rather rely on hydraulic pressure.', 'Animal: Spider\nSection: Appearance and Behavior\nThe physical makeup of spiders is distinct from other arthropods in that their typical body parts are combined into two sections, a cephalothorax, and an abdomen, connected by a thin tube-like pedicel. This naming of this structure has been disputed, as there is no fossil or embryonic evidence to suggest that the head and thorax were ever separated. The abdomen of each spider contains the heart and breathing organs. All spiders have eight legs. Many of them have fangs that can excrete a venomous substance.', 'Animal: Cardinal\nSection: Predators, Threats, And Conservation Status\nSubsection: What Eats The Great Cardinal?\nThe cardinal’s main predators include birds of prey like hawks, owls, eagles, and falcons . They are also preyed on by snakes, jays, squirrels , and domestic animals like dogs and cats. Males sing and use alarm calls to warn of nearby predators. Most male cardinal species are relatively aggressive and will defend their nest by swooping and diving.'];['hybrid_search'];out_of_scope;1;0.0;1.0;0.0;False
How fast can a spotted cheetah run?;MATCH (s:Species {name: 'Cheetah'}) RETURN s.name AS species, s.top_speed_kmh AS top_speed_kmh;text2cypher;species: Cheetah, top_speed_kmh: 96.56;A spotted cheetah can run at a top speed of 96.56 km/h [1].;22.761824;"[""[text2cypher - How fast can a spotted cheetah run?]\n{'s.top_speed_kmh': 96.56}""]";['text2cypher'];text2cypher;1;1.0;1.0;0.6666666666666666;True
Which animal class has the most endangered species?;MATCH (s:Species)-[:BELONGS_TO_CLASS]->(c:AnimalClass) MATCH (s)-[:HAS_CONSERVATION_STATUS]->(cs:ConservationStatus) WHERE cs.type IN ['CR (Critically Endangered)', 'EN (Endangered)'] RETURN c.type AS class, count(s) AS endangered_count ORDER BY endangered_count DESC LIMIT 1;text2cypher;class: Mammal, endangered_count: 19;Mammal [1];23.152422;"[""[text2cypher - Which animal class has the most endangered species?]\n{'c.type': 'Mammal', 'endangeredSpeciesCount': 29}""]";['text2cypher'];text2cypher;1;0.5;0.7;1;True
How many species in the database are nocturnal?;MATCH (s:Species)-[:HAS_ACTIVITY_CYCLE]->(ac:ActivityCycle {type: 'Nocturnal'}) RETURN count(s) AS nocturnal_species;text2cypher;nocturnal_species: 18;18 [1];32.072018;"[""[text2cypher - How many species in the database are nocturnal?]\n{'totalNocturnalSpecies': 18}""]";['text2cypher'];text2cypher;1;1.0;1.0;1.0;True
How many carnivore species live in aquatic environments?;MATCH (s:Species)-[:HAS_DIET_TYPE]->(d:DietType {type: 'Carnivore'}) MATCH (s)-[:LIVES_IN_ENVIRONMENT]->(e:EnvironmentType {type: 'Aquatic'}) RETURN count(s) AS carnivore_aquatic_species;text2cypher;carnivore_aquatic_species: 20;20 carnivore species live in aquatic environments [1].;30.743145;"[""[text2cypher - How many carnivore species live in aquatic environments?]\n{'totalCarnivoreSpeciesInAquaticEnvironments': 20}""]";['text2cypher'];text2cypher;1;1.0;1.0;1.0;True
List all species that weigh more than 1000 kg;MATCH (s:Species) WHERE s.weight_max_kg > 1000 RETURN s.name AS species, s.weight_max_kg AS max_weight_kg ORDER BY s.weight_max_kg DESC;text2cypher;"species: Killer Whale (Orca), max_weight_kg: 10000.0; species: Elephant, max_weight_kg: 5443.11; species: Turtle, max_weight_kg: 2222.6; species: Cow, max_weight_kg: 1678.27; species: Polar Bear, max_weight_kg: 1002.0";Elephant [1], Killer Whale (Orca) [1], Cow [1], Polar Bear [1], Turtle [1].;19.091667;"[""[text2cypher - List all species that weigh more than 1000 kg]\n{'s.name': 'Elephant', 's.weight_max_kg': 5443.11}\n{'s.name': 'Killer Whale (Orca)', 's.weight_max_kg': 10000.0}\n{'s.name': 'Cow', 's.weight_max_kg': 1678.27}\n{'s.name': 'Polar Bear', 's.weight_max_kg': 1002.0}\n{'s.name': 'Turtle', 's.weight_max_kg': 2222.6}""]";['text2cypher'];text2cypher;1;1.0;1.0;1.0;True
Which species have a lifespan greater than 50 years and are endangered?;MATCH (s:Species)-[:HAS_CONSERVATION_STATUS]->(cs:ConservationStatus) WHERE s.lifespan_years > 50 AND cs.type IN ['EN (Endangered)'] RETURN s.name AS species, s.lifespan_years AS lifespan, cs.type AS status ORDER BY s.lifespan_years DESC;text2cypher;"species: Sea Turtle, lifespan: 100.0, status: EN (Endangered); species: Killer Whale (Orca), lifespan: 100.0, status: EN (Endangered); species: Elephant, lifespan: 89.0, status: EN (Endangered)";Elephant, Sea Turtle, and Killer Whale (Orca) [1].;36.249886;[{'source': 'Graph query: List all endangered animal species with a lifespan greater than 50 years.', 'data': [{'s.name': 'Elephant'}, {'s.name': 'Sea Turtle'}, {'s.name': 'Killer Whale (Orca)'}]}];['complex_query'];text2cypher;1;1.0;1.0;1.0;False
List solitary carnivores that live in terrestrial environments;MATCH (s:Species)-[:HAS_DIET_TYPE]->(d:DietType {type: 'Carnivore'}) MATCH (s)-[:ORGANIZED_IN]->(ss:SocialStructure {type: 'Solitary'}) MATCH (s)-[:LIVES_IN_ENVIRONMENT]->(e:EnvironmentType {type: 'Terrestrial'}) RETURN s.name AS species ORDER BY s.name;text2cypher;"species: Bald Eagle; species: Cheetah; species: Crocodile; species: Frog; species: Hamster; species: Hedgehog; species: Jaguar; species: Platypus; species: Polar Bear; species: Snake; species: Spider";Jaguar [1], Snake [1], Crocodile [1], Bald Eagle [1], Polar Bear [1], Cheetah [1], Hamster [1], Platypus [1], Hedgehog [1], Spider [1], Frog [1].;72.543481;"[""[text2cypher - List solitary carnivores that live in terrestrial environments]\n{'s.name': 'Jaguar'}\n{'s.name': 'Snake'}\n{'s.name': 'Crocodile'}\n{'s.name': 'Bald Eagle'}\n{'s.name': 'Polar Bear'}\n{'s.name': 'Cheetah'}\n{'s.name': 'Hamster'}\n{'s.name': 'Platypus'}\n{'s.name': 'Hedgehog'}\n{'s.name': 'Spider'}\n{'s.name': 'Frog'}""]";['text2cypher'];text2cypher;1;1.0;0.757575;0.663524;True
Which viviparous mammals reach maturity before 2 years?;MATCH (s:Species)-[:BELONGS_TO_CLASS]->(c:AnimalClass {type: 'Mammal'}) MATCH (s)-[:REPRODUCES_VIA]->(r:ReproductionMethod {type: 'Viviparous'}) WHERE s.maturity_age_years < 2 RETURN s.name AS species, s.maturity_age_years AS maturity_age ORDER BY s.maturity_age_years;text2cypher;"species: Cow, maturity_age: 1.0; species: Cheetah, maturity_age: 1.5";Cow [1], Cheetah [1];16.887662;"[""[text2cypher - List all viviparous mammals that reach maturity before 2 years]\n{'s.name': 'Cow'}\n{'s.name': 'Cheetah'}""]";['text2cypher'];text2cypher;1;1.0;1.0;0.6666666666666666;True
Which species have no natural predators?;MATCH (s:Species) WHERE NOT (:Species)-[:PREYS_ON]->(s) RETURN s.name AS apex_predator ORDER BY s.name;text2cypher;"apex_predator: Aardvark; apex_predator: African Wild Dog; apex_predator: Amazonian; apex_predator: Ant; apex_predator: Axolotl; apex_predator: Baboon; apex_predator: Badger; apex_predator: Bass; apex_predator: Bear; apex_predator: Brown Bear; apex_predator: Bunting; apex_predator: Butterfly; apex_predator: Cat; apex_predator: Catfish; apex_predator: Cattle; apex_predator: Centipede; apex_predator: Chameleon; apex_predator: Cladoselache; apex_predator: Clownfish; apex_predator: Cormorant; apex_predator: Cow; apex_predator: Crab; apex_predator: Damselfish; apex_predator: Echidna; apex_predator: Falcon; apex_predator: Ferret; apex_predator: Flamingo; apex_predator: Flicker; apex_predator: Frog; apex_predator: Gharial; apex_predator: Grackle; apex_predator: Green Iguana; apex_predator: Grosbeak; apex_predator: Guinea Pig; apex_predator: Gull; apex_predator: Hamster; apex_predator: Heron; apex_predator: Honey Bee; apex_predator: Ichthyostega; apex_predator: Indohyus; apex_predator: Jackal; apex_predator: Killer Whale (Orca); apex_predator: King Cobra; apex_predator: Kiwi; apex_predator: Leech; apex_predator: Lion; apex_predator: Llama; apex_predator: Loon; apex_predator: Mammoth; apex_predator: Moa; apex_predator: Mole; apex_predator: Mongoose; apex_predator: Monkey; apex_predator: Mountain Lion; apex_predator: Okapi; apex_predator: Opossum; apex_predator: Orangutan; apex_predator: Owl; apex_predator: Piculet; apex_predator: Pike; apex_predator: Polar Bear; apex_predator: Praying Mantis; apex_predator: Proailurus; apex_predator: Raccoon; apex_predator: Rat; apex_predator: Raven; apex_predator: Rhinoceros; apex_predator: River Dolphin; apex_predator: Robin; apex_predator: Sabre-Toothed Cat; apex_predator: Salamander; apex_predator: Salmon; apex_predator: Scorpion; apex_predator: Sea Otter; apex_predator: Shrew; apex_predator: Skua; apex_predator: Skunk; apex_predator: Snow Leopard; apex_predator: Squirrel; apex_predator: Striped Dolphin; apex_predator: Swordfish; apex_predator: Tanager; apex_predator: Tasmanian Devil; apex_predator: Termite; apex_predator: Tree Frog; apex_predator: Tucuxi; apex_predator: Tuna; apex_predator: Tydea Septentrionalis; apex_predator: Vicuna; apex_predator: Vulture; apex_predator: Waimanu; apex_predator: Wild Ass; apex_predator: Wolf";Chameleon, Green Iguana, Aardvark, Buffalo, Zebra, Giraffe, Gazelle, Warthog, Antelope, Elephant, Woodpecker, Piculet, Flicker, Duck, Albatross, Tydea Septentrionalis, Waimanu, Loon, Cormorant, Bald Eagle, Brown Bear, Cow, Cattle, Giant Panda, Reindeer, Walrus, Ostrich, Kiwi, Capelin, Sprat, Squid, Cladoselache, Chinchilla, Koala, Chicken, Blue Jay, Rhinoceros, Clownfish, Damselfish, Okapi, Horse, Moa, Chimpanzee, Orangutan, Termite, Honey Bee, Hamster, Guinea Pig, Alpaca, Llama, Vicuna, Flamingo, Cardinal, Bunting, Grosbeak, Turtle, Monarch Butterfly, Butterfly, Gharial, Catfish, Caiman, Lobster, Clam, Hippopotamus, Mammoth, Anteater, Armadillo, Coati, Capybara, Tapir, Blue Whale, Salmon, Porpoise, Baboon, Rabbit, Kangaroo, Proailurus, Sabre-Toothed Cat, Striped Dolphin, River Dolphin, Tucuxi, Indohyus, Seahorse, Donkey, Wild Ass, Hedgehog, Jellyfish, Axolotl, Echidna, Snail, Millipede, Amazonian, Ant, Moth, Mosquito, Ichthyostega, Tree Frog, Earthworm, Slug, Badger, Salamander, Leech, Jackal, Mole [1]. This information is not in the knowledge base.;63.596568;"[""[text2cypher - List all species that have no natural predators.]\n{'s.name': 'Chameleon'}\n{'s.name': 'Green Iguana'}\n{'s.name': 'Aardvark'}\n{'s.name': 'Buffalo'}\n{'s.name': 'Zebra'}\n{'s.name': 'Giraffe'}\n{'s.name': 'Gazelle'}\n{'s.name': 'Warthog'}\n{'s.name': 'Antelope'}\n{'s.name': 'Elephant'}\n{'s.name': 'Woodpecker'}\n{'s.name': 'Piculet'}\n{'s.name': 'Flicker'}\n{'s.name': 'Duck'}\n{'s.name': 'Albatross'}\n{'s.name': 'Tydea Septentrionalis'}\n{'s.name': 'Waimanu'}\n{'s.name': 'Loon'}\n{'s.name': 'Cormorant'}\n{'s.name': 'Bald Eagle'}\n{'s.name': 'Brown Bear'}\n{'s.name': 'Cow'}\n{'s.name': 'Cattle'}\n{'s.name': 'Giant Panda'}\n{'s.name': 'Reindeer'}\n{'s.name': 'Walrus'}\n{'s.name': 'Ostrich'}\n{'s.name': 'Kiwi'}\n{'s.name': 'Capelin'}\n{'s.name': 'Sprat'}\n{'s.name': 'Squid'}\n{'s.name': 'Cladoselache'}\n{'s.name': 'Chinchilla'}\n{'s.name': 'Koala'}\n{'s.name': 'Chicken'}\n{'s.name': 'Blue Jay'}\n{'s.name': 'Rhinoceros'}\n{'s.name': 'Clownfish'}\n{'s.name': 'Damselfish'}\n{'s.name': 'Okapi'}\n{'s.name': 'Horse'}\n{'s.name': 'Moa'}\n{'s.name': 'Chimpanzee'}\n{'s.name': 'Orangutan'}\n{'s.name': 'Termite'}\n{'s.name': 'Honey Bee'}\n{'s.name': 'Hamster'}\n{'s.name': 'Guinea Pig'}\n{'s.name': 'Alpaca'}\n{'s.name': 'Llama'}\n{'s.name': 'Vicuna'}\n{'s.name': 'Flamingo'}\n{'s.name': 'Cardinal'}\n{'s.name': 'Bunting'}\n{'s.name': 'Grosbeak'}\n{'s.name': 'Turtle'}\n{'s.name': 'Monarch Butterfly'}\n{'s.name': 'Butterfly'}\n{'s.name': 'Gharial'}\n{'s.name': 'Catfish'}\n{'s.name': 'Caiman'}\n{'s.name': 'Lobster'}\n{'s.name': 'Clam'}\n{'s.name': 'Hippopotamus'}\n{'s.name': 'Mammoth'}\n{'s.name': 'Anteater'}\n{'s.name': 'Armadillo'}\n{'s.name': 'Coati'}\n{'s.name': 'Capybara'}\n{'s.name': 'Tapir'}\n{'s.name': 'Blue Whale'}\n{'s.name': 'Salmon'}\n{'s.name': 'Porpoise'}\n{'s.name': 'Baboon'}\n{'s.name': 'Rabbit'}\n{'s.name': 'Kangaroo'}\n{'s.name': 'Proailurus'}\n{'s.name': 'Sabre-Toothed Cat'}\n{'s.name': 'Striped Dolphin'}\n{'s.name': 'River Dolphin'}\n{'s.name': 'Tucuxi'}\n{'s.name': 'Indohyus'}\n{'s.name': 'Seahorse'}\n{'s.name': 'Donkey'}\n{'s.name': 'Wild Ass'}\n{'s.name': 'Hedgehog'}\n{'s.name': 'Jellyfish'}\n{'s.name': 'Axolotl'}\n{'s.name': 'Echidna'}\n{'s.name': 'Snail'}\n{'s.name': 'Millipede'}\n{'s.name': 'Amazonian'}\n{'s.name': 'Ant'}\n{'s.name': 'Moth'}\n{'s.name': 'Mosquito'}\n{'s.name': 'Ichthyostega'}\n{'s.name': 'Tree Frog'}\n{'s.name': 'Earthworm'}\n{'s.name': 'Slug'}\n{'s.name': 'Badger'}\n{'s.name': 'Salamander'}\n{'s.name': 'Leech'}\n{'s.name': 'Jackal'}\n{'s.name': 'Mole'}"", '[predefined_predator_prey_chain - What are the natural predators of the species listed in the context?]\n']";['text2cypher', 'predefined_predator_prey_chain'];text2cypher;2;0.64090909090909;1.0;0.75;False
